Date,Open,High,Low,Close,Adj Close,Volume
2023-04-01,2.671945,2.684708,2.536318,2.555618,2.555618,17694674
2023-04-02,2.558800,2.658316,2.491502,2.570930,2.570930,25566025
2023-04-03,2.577763,2.734507,2.530720,2.570202,2.570202,40818462
2023-04-04,2.570227,2.603196,2.548637,2.583533,2.583533,10808960
2023-04-05,2.586359,2.604381,2.546661,2.569812,2.569812,12097041
2023-04-06,2.569887,2.594583,2.528463,2.540476,2.540476,11666527
2023-04-07,2.540411,2.841846,2.510816,2.709990,2.709990,46538116
2023-04-08,2.711492,3.611293,2.672521,2.911324,2.911324,171714101
2023-04-09,2.911232,3.194693,2.769975,2.816134,2.816134,55527825
2023-04-10,2.815884,3.375810,2.736350,3.032584,3.032584,79979901
2023-04-11,3.033359,3.316767,2.982691,3.069568,3.069568,74600788
2023-04-12,3.069670,3.104478,2.908586,2.984768,2.984768,17558920
2023-04-13,2.944796,3.090516,2.910754,3.068451,3.068451,25982029
2023-04-14,3.073411,3.107591,3.024219,3.046593,3.046593,24859865
2023-04-15,3.046770,3.101371,3.028916,3.042657,3.042657,13216238
2023-04-16,3.053141,3.075130,3.019512,3.057487,3.057487,9910645
2023-04-17,3.058058,3.145751,2.989553,3.072072,3.072072,23488934
2023-04-18,3.072478,3.090722,3.044936,3.068424,3.068424,8621670
2023-04-19,3.068076,3.109614,2.727219,2.758437,2.758437,13590668
2023-04-20,2.758157,3.024768,2.682921,2.869015,2.869015,24285914
2023-04-21,2.874758,2.931795,2.709141,2.718814,2.718814,17399083
2023-04-22,2.718869,2.779232,2.681500,2.762340,2.762340,6850072
2023-04-23,2.762224,2.859220,2.740831,2.772336,2.772336,16963437
2023-04-24,2.772284,2.815429,2.738576,2.795090,2.795090,8992900
2023-04-25,2.794462,2.846205,2.748994,2.815479,2.815479,9024301
2023-04-26,2.815447,2.889939,2.696330,2.788949,2.788949,12013639
2023-04-27,2.789688,2.896145,2.779619,2.842205,2.842205,13245491
2023-04-28,2.841860,2.870836,2.781906,2.799267,2.799267,5646096
2023-04-29,2.798805,2.880202,2.786205,2.825009,2.825009,8026522
2023-04-30,2.824923,2.924701,2.808320,2.833496,2.833496,16239515
2023-05-01,2.833208,2.833656,2.748765,2.770575,2.770575,5532151
2023-05-02,2.771052,2.812804,2.716102,2.792377,2.792377,4374108
2023-05-03,2.792349,2.866492,2.698226,2.780548,2.780548,7964965
2023-05-04,2.780625,2.823029,2.752182,2.823029,2.823029,4562225
2023-05-05,2.822393,2.827501,2.743470,2.746253,2.746253,4940431
2023-05-06,2.746470,2.766157,2.639873,2.701163,2.701163,6328972
2023-05-07,2.700625,2.714596,2.630870,2.635247,2.635247,5270053
2023-05-08,2.634802,2.651522,2.398687,2.437190,2.437190,5486930
2023-05-09,2.437022,2.478907,2.387463,2.404211,2.404211,5639826
2023-05-10,2.404558,2.452360,2.311755,2.392135,2.392135,6807618
2023-05-11,2.391811,2.431251,2.287483,2.336098,2.336098,8300072
2023-05-12,2.336353,2.341048,2.230041,2.314019,2.314019,4969942
2023-05-13,2.314017,2.398286,2.286861,2.355343,2.355343,6779845
2023-05-14,2.355640,2.449693,2.335964,2.372917,2.372917,6165155
2023-05-15,2.372696,2.406210,2.353609,2.395492,2.395492,3297997
2023-05-16,2.395375,2.466747,2.381356,2.419444,2.419444,4660142
2023-05-17,2.419184,2.431898,2.367401,2.409767,2.409767,4130662
2023-05-18,2.409731,2.413410,2.338963,2.370383,2.370383,4382772
2023-05-19,2.370137,2.403750,2.368459,2.393069,2.393069,3953915
2023-05-20,2.393480,2.455448,2.375874,2.437405,2.437405,6308602
2023-05-21,2.437263,2.437263,2.344755,2.354914,2.354914,3729458
2023-05-22,2.354987,2.377237,2.312354,2.339843,2.339843,3054847
2023-05-23,2.339450,2.388537,2.334103,2.351378,2.351378,3575434
2023-05-24,2.351899,2.364211,2.242522,2.261619,2.261619,3712888
2023-05-25,2.261569,2.286181,2.225035,2.262426,2.262426,2611793
2023-05-26,2.262502,2.334256,2.259111,2.298671,2.298671,4528614
2023-05-27,2.298754,2.304565,2.270949,2.293280,2.293280,2241768
2023-05-28,2.293768,2.438003,2.279270,2.383049,2.383049,9888115
2023-05-29,2.383020,2.407643,2.330420,2.347363,2.347363,6022113
2023-05-30,2.346851,2.454137,2.327982,2.390395,2.390395,9424258
2023-05-31,2.390476,2.402771,2.329279,2.359568,2.359568,6570000
2023-06-01,2.359794,2.360259,2.310346,2.322295,2.322295,3486295
2023-06-02,2.322033,2.365911,2.300633,2.355063,2.355063,2789013
2023-06-03,2.355051,2.424890,2.345002,2.396195,2.396195,6424488
2023-06-04,2.395044,2.419321,2.335777,2.336873,2.336873,4278718
2023-06-05,2.336287,2.343257,2.078101,2.141689,2.141689,4153930
2023-06-06,2.141677,2.189638,2.073716,2.124560,2.124560,6180447
2023-06-07,2.124796,2.125836,1.913271,1.937756,1.937756,5814174
2023-06-08,1.937838,2.037554,1.894355,1.983294,1.983294,5429923
2023-06-09,1.982888,2.045985,1.953676,1.956095,1.956095,4746250
2023-06-10,1.956232,1.960602,1.627839,1.733900,1.733900,5152449
2023-06-11,1.733929,1.733929,1.683484,1.716126,1.716126,2804237
2023-06-12,1.715994,1.740337,1.668567,1.731161,1.731161,2369424
2023-06-13,1.731118,1.870407,1.725563,1.807755,1.807755,9688496
2023-06-14,1.807755,1.861204,1.723993,1.769070,1.769070,5240024
2023-06-15,1.769207,1.773566,1.710503,1.750241,1.750241,3084180
2023-06-16,1.750233,1.816271,1.743051,1.802516,1.802516,5171104
2023-06-17,1.802723,1.856784,1.793009,1.811582,1.811582,2128228
2023-06-18,1.811500,1.824341,1.780403,1.782356,1.782356,2290190
2023-06-19,1.782388,1.807330,1.769176,1.792636,1.792636,2746761
2023-06-20,1.792478,1.854709,1.787112,1.832598,1.832598,4015559
2023-06-21,1.832845,1.887190,1.829033,1.877059,1.877059,3709072
2023-06-22,1.876898,1.907055,1.828611,1.832171,1.832171,5117848
2023-06-23,1.832276,1.895134,1.816518,1.862406,1.862406,4597083
2023-06-24,1.862561,2.000891,1.857906,1.922232,1.922232,9980943
2023-06-25,1.922287,1.948054,1.878718,1.889804,1.889804,2816410
2023-06-26,1.889728,1.933872,1.830029,1.855626,1.855626,3822998
2023-06-27,1.855525,1.887282,1.853484,1.867792,1.867792,2218410
2023-06-28,1.867918,1.867995,1.808134,1.821878,1.821878,2541018
2023-06-29,1.821805,1.848777,1.815409,1.831265,1.831265,2320731
2023-06-30,1.831369,1.876784,1.783281,1.850985,1.850985,2977708
2023-07-01,1.850930,1.874452,1.830741,1.874452,1.874452,2185688
2023-07-02,1.874847,1.880688,1.843931,1.873652,1.873652,1786471
2023-07-03,1.873704,1.917634,1.865140,1.913228,1.913228,2359041
2023-07-04,1.913273,1.952912,1.896816,1.903002,1.903002,4002887
2023-07-05,1.903295,1.933017,1.845077,1.857573,1.857573,2383219
2023-07-06,1.857312,1.945442,1.849515,1.873947,1.873947,6071411
2023-07-07,1.874032,1.951802,1.859071,1.931413,1.931413,5437486
2023-07-08,1.931491,1.954331,1.902695,1.911867,1.911867,2233006
2023-07-09,1.914675,1.939702,1.901427,1.909332,1.909332,2226486
2023-07-10,1.909632,1.930559,1.880569,1.904005,1.904005,2328261
2023-07-11,1.904317,1.931992,1.886645,1.925194,1.925194,2134227
2023-07-12,1.925168,1.934877,1.896009,1.904311,1.904311,1840940
2023-07-13,1.904537,1.979498,1.895119,1.969794,1.969794,4286691
2023-07-14,1.969861,1.985072,1.909667,1.950851,1.950851,3810125
2023-07-15,1.950718,2.011093,1.935740,1.972785,1.972785,5628264
2023-07-16,1.977036,2.057591,1.945101,1.947214,1.947214,6569297
2023-07-17,1.947402,2.028388,1.931086,1.983619,1.983619,6506387
2023-07-18,1.983464,2.036332,1.930480,1.953091,1.953091,8324897
2023-07-19,1.953019,1.963007,1.935051,1.945017,1.945017,2535247
2023-07-20,1.944973,2.046088,1.931494,2.008934,2.008934,9793610
2023-07-21,2.008822,2.206643,1.978409,2.007168,2.007168,21540652
2023-07-22,2.007417,2.046275,1.986577,1.995921,1.995921,4067631
2023-07-23,1.995624,2.095247,1.989345,2.037254,2.037254,6697250
2023-07-24,2.037152,2.072912,2.002839,2.040014,2.040014,7499504
2023-07-25,2.039358,2.065488,2.022143,2.040865,2.040865,3608526
2023-07-26,2.040976,2.079180,2.018244,2.042303,2.042303,3358204
2023-07-27,2.042301,2.264745,2.035540,2.193119,2.193119,16530525
2023-07-28,2.193042,2.271257,2.134280,2.226693,2.226693,10579868
2023-07-29,2.226601,2.256737,2.208949,2.229304,2.229304,3946376
2023-07-30,2.229508,2.348304,2.209951,2.323971,2.323971,9523487
2023-07-31,2.324204,2.329040,2.246891,2.268335,2.268335,3807456
2023-08-01,2.268373,2.275419,2.181374,2.216065,2.216065,2708497
2023-08-02,2.216016,2.315495,2.200121,2.283893,2.283893,6762966
2023-08-03,2.283996,2.326943,2.248618,2.251927,2.251927,3933877
2023-08-04,2.251834,2.296338,2.242872,2.256545,2.256545,2953265
2023-08-05,2.256367,2.263967,2.167731,2.192150,2.192150,3345804
2023-08-06,2.192034,2.230832,2.182884,2.192693,2.192693,3160290
2023-08-07,2.192517,2.248509,2.162167,2.225988,2.225988,5599277
2023-08-08,2.226112,2.266967,2.214738,2.244434,2.244434,3774792
2023-08-09,2.244493,2.263465,2.220748,2.238157,2.238157,3117844
2023-08-10,2.238013,2.251311,2.209765,2.214557,2.214557,3591469
2023-08-11,2.214640,2.226943,2.202628,2.210343,2.210343,1988295
2023-08-12,2.210331,2.221079,2.203618,2.209360,2.209360,1956792
2023-08-13,2.205785,2.212037,2.184260,2.187820,2.187820,2537255
2023-08-14,2.187813,2.203748,2.163744,2.185304,2.185304,3245971
2023-08-15,2.185554,2.185949,2.039120,2.056314,2.056314,3388265
2023-08-16,2.056386,2.070991,1.917157,1.939246,1.939246,2984384
2023-08-17,1.939179,2.098646,1.800370,1.880399,1.880399,10736244
2023-08-18,1.880299,1.969076,1.841349,1.881449,1.881449,4083766
2023-08-19,1.881469,2.046123,1.877664,1.994590,1.994590,7166125
2023-08-20,1.994555,2.147784,1.994555,2.004722,2.004722,8488505
2023-08-21,2.004661,2.095258,1.987647,2.067958,2.067958,5994410
2023-08-22,2.068623,2.130735,1.956348,2.010111,2.010111,4345487
